"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-01-31,1553204723,1553204723,1,61619000000,20499000000,37668000000,19343000000,23951000000,0,0,18481000000,10040000000,7674000000,1436000000,1436000000,0.9,0.89,0.15,142000000,-1119000000,-929000000,-1906000000,7673000000,554000000,14.94,17.07,12.81,0.0574,0.0231,15.42,1.01,74.7,0.63,0.2941,0.4192,0.3887,0.0602,0.38,-0.27,1.0598
2017-10-31,1593885581,1593885581,1,61406000000,21444000000,37940000000,18924000000,23466000000,0,0,18558000000,10182000000,1810000000,524000000,524000000,0.33,0.31,0,826000000,-483000000,1479000000,1822000000,9579000000,456000000,15.55,18.14,12.97,0.0122,0.005,14.72,0.87,194.38,0.48,1.2428,0.4339,0.3821,0.0119,0.42,0.23,1.1332
2017-07-31,1619464166,1619464166,1,70931000000,23143000000,41919000000,18279000000,29012000000,0,0,26902000000,14527000000,8209000000,165000000,165000000,0.1,0.1,0.065,891000000,-614000000,-621000000,-344000000,7757000000,463000000,17.77,19.16,16.37,0.004,0.0017,17.91,1.01,13.67,0.48,4.1867,0.5007,0.409,0.0031,0.54,0.26,1.2661
2017-04-30,1642630237,1642630237,1,67470000000,20273000000,38459000000,17578000000,29011000000,0,0,27038000000,11904000000,7445000000,-612000000,-612000000,-0.37,-0.37,0.065,636000000,-2653000000,260000000,-1757000000,8101000000,700000000,21.09,24.88,17.31,0.0717,0.0295,17.66,1.11,11.4,0.41,0.223,0.4103,0.43,0.0512,0.58,-0.04,1.1533
2017-01-31,1657704510,1657704510,1,76662000000,25525000000,45088000000,21686000000,31501000000,73000000,0,25416000000,12270000000,11407000000,267000000,267000000,0.16,0.16,0.13,-1464000000,-1157000000,-508000000,-3129000000,9858000000,839000000,23.16,24.79,21.52,0.0996,None,19,1.23,12.59,0.35,0.1524,0.3895,0.4109,0.0648,0.62,-1.39,1.177
2016-10-31,1664817197,1664817197,1,79679000000,28917000000,48161000000,22531000000,31448000000,70000000,0,25262000000,12608000000,12478000000,302000000,302000000,0.15,0.19,0.05,2212000000,-211000000,-34000000,1967000000,12987000000,735000000,22.08,23.53,20.63,0.0997,None,18.89,1.13,None,0.22,0.1141,0.4009,0.3947,0.0631,0.64,0.89,1.2834
2016-07-31,1665537308,1665537308,1,78821000000,28470000000,45995000000,19484000000,32426000000,400000000,0,25382000000,15354000000,12210000000,2272000000,2272000000,1.35,1.32,0.055,1714000000,1751000000,-1492000000,1733000000,10743000000,743000000,18.64,21.9,15.38,None,None,19.47,0.98,None,0.17,None,0.4735,0.4114,None,None,0.58,1.4612
2016-04-30,1661714690,1661714690,1,78064000000,31147000000,46040000000,20597000000,31634000000,390000000,0,25680000000,15247000000,12711000000,320000000,320000000,0.19,0.18,0.055,1107000000,-429000000,-136000000,542000000,9010000000,596000000,15.29,18.55,12.02,None,None,19.04,0.84,None,0.11,None,0.482,0.4052,None,None,0.31,1.5122
2016-01-31,1716564087,1716564087,1,77352000000,27756000000,45718000000,20351000000,31249000000,385000000,0,29166000000,15229000000,12724000000,267000000,267000000,0.15,0.15,0.055,-75000000,-692000000,-570000000,-1337000000,8505000000,756000000,13.76,15.88,11.63,None,None,18.2,0.71,None,0.06,None,0.4873,0.404,None,None,-0.48,1.3639
2015-10-31,1742520126,1742520126,1,81270000000,31173000000,47352000000,22151000000,33535000000,383000000,0,29191000000,15103000000,None,None,None,None,None,0,None,None,None,None,9842000000,0,None,None,None,None,None,19.25,None,None,0,None,0.4504,0.4126,None,None,None,1.4073
