"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JNJ","Johnson & Johnson","10.33%","123.54","-0.70","-0.56%","3.38 M","121.28 - 148.32",
"UNH","Unitedhealth Group Inc","7.33%","247.24","+2.60","+1.06%","1.72 M","170.25 - 250.79",
"PFE","Pfizer Inc","6.57%","35.72","+0.08","+0.22%","9.14 M","31.67 - 39.43",
"ABBV","AbbVie Inc.","5.23%","106.17","+0.19","+0.18%","3.58 M","64.80 - 125.86",
"MRK","Merck & Co Inc","4.94%","58.52","-0.63","-1.06%","5.15 M","52.83 - 66.41",
"AMGN","Amgen Inc","3.65%","176.16","-0.14","-0.08%","1.56 M","152.16 - 201.23",
"MDT","Medtronic plc","3.55%","85.44","+0.80","+0.94%","1.96 M","76.41 - 89.72",
"ABT","Abbott Laboratories","3.33%","62.21","+0.50","+0.81%","2.74 M","43.01 - 64.60",
"GILD","Gilead Sciences Inc","2.76%","67.46","-0.56","-0.82%","3.62 M","63.76 - 89.54",
"TMO","Thermo Fisher Scientific","2.68%","216.45","+1.51","+0.70%","456.26 K","170.07 - 226.44",
"BMY","Bristol-Myers Squibb","2.67%","52.32","-0.39","-0.74%","3.54 M","49.96 - 70.05",
"LLY","Lilly Eli & Co","2.45%","81.81","-0.26","-0.32%","1.47 M","73.69 - 89.09",
"CVS","CVS Health Corporation","2.04%","65.36","+0.44","+0.68%","2.33 M","60.14 - 84.00",
"DHR","Danaher Corp","1.93%","102.50","+1.25","+1.23%","1.49 M","78.97 - 104.82",
"BDX","Becton Dickinson & Co","1.86%","228.76","+3.75","+1.67%","692.38 K","182.96 - 248.39",
"BIIB","Biogen Inc","1.84%","278.27","-2.13","-0.76%","891.37 K","244.28 - 370.57",
"ANTM","Anthem Inc","1.84%","233.49","+1.62","+0.70%","424.33 K","174.96 - 267.95",
"CELG","Celgene Corp","1.83%","74.74","-3.63","-4.63%","13.66 M","78.35 - 147.17",
"AET","Aetna Inc","1.79%","177.46","+0.65","+0.37%","418.44 K","139.45 - 194.40",
"SYK","Stryker Corp","1.73%","173.90","+1.09","+0.63%","361.10 K","134.79 - 173.47",
"AGN","Allergan plc","1.62%","154.21","-4.22","-2.66%","1.46 M","142.81 - 256.80",
