"Holdings and weightings as of 5:39 PM ET 05/18/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BA","Boeing Co","8.39%","362.55","+11.32","+3.22%","4.87 M","176.77 - 371.60",
"GE","General Electric Co","5.61%","15.38","+0.41","+2.71%","49.35 M","12.73 - 29.47",
"MMM","3M Co","5.12%","201.92","+2.96","+1.49%","1.38 M","191.44 - 259.77",
"UNP","Union Pacific Corp","4.89%","145.27","+1.47","+1.02%","1.75 M","101.06 - 144.45",
"HON","Honeywell Intl Inc","4.82%","150.77","+2.43","+1.64%","1.34 M","130.70 - 165.13",
"CAT","Caterpillar Inc","4.02%","159.55","+3.84","+2.47%","4.56 M","101.27 - 173.24",
"UTX","United Technologies Corp","4.02%","127.95","+2.76","+2.20%","3.08 M","109.10 - 139.24",
"LMT","Lockheed Martin","3.44%","323.89","+3.44","+1.07%","568.76 K","268.11 - 363.00",
"UPS","United Parcel Service Inc B","3.43%","117.01","+1.63","+1.41%","1.74 M","101.45 - 135.53",
"FDX","FedEx Corp","2.66%","254.32","+4.87","+1.95%","712.18 K","188.75 - 274.66",
"RTN","Raytheon Co","2.63%","213.86","+2.80","+1.33%","670.40 K","158.32 - 229.75",
"NOC","Northrop Grumman Corp","2.47%","332.06","+3.04","+0.92%","394.40 K","247.60 - 360.88",
"CSX","CSX Corporation","2.44%","63.99","+0.23","+0.36%","1.65 M","47.99 - 64.07",
"GD","General Dynamics","2.42%","205.41","+2.89","+1.43%","549.70 K","191.00 - 230.00",
"DE","Deere & Co","2.17%","158.26","+3.01","+1.94%","3.76 M","112.87 - 175.26",
"EMR","Emerson Electric Co","2.01%","74.02","+0.88","+1.20%","1.37 M","57.39 - 74.45",
"ITW","Illinois Tool Works Inc","1.95%","149.85","+3.05","+2.08%","1.22 M","135.07 - 179.07",
"NSC","Norfolk Southern Corp","1.87%","152.62","+0.13","+0.09%","835.59 K","111.44 - 157.15",
"DAL","Delta Air Lines","1.49%","54.22","+1.27","+2.40%","3.35 M","44.59 - 60.79",
"ETN","Eaton Corp plc","1.49%","79.99","+1.40","+1.78%","1.06 M","69.82 - 89.85",
"JCI","Johnson Controls International plc","1.44%","35.72","-0.23","-0.64%","3.35 M","32.89 - 44.37",
"WM","Waste Management Inc","1.40%","82.30","+0.82","+1.00%","848.61 K","70.09 - 89.73",
"LUV","Southwest Airlines Co","1.22%","52.39","+0.20","+0.38%","4.70 M","49.76 - 66.99",
"ROP","Roper Technologies, Inc","1.22%","281.12","+5.65","+2.05%","215.43 K","219.41 - 292.97",
"PH","Parker-Hannifin Corp","1.03%","182.96","+3.87","+2.16%","540.48 K","152.01 - 212.80",
"FTV","Fortive Corp","1.03%","77.55","-0.32","-0.41%","792.62 K","61.00 - 80.31",
"ROK","Rockwell Automation Inc","1.01%","183.74","+1.40","+0.77%","454.87 K","154.70 - 210.72",
"CMI","Cummins Inc","1.00%","151.05","+2.15","+1.44%","789.07 K","140.60 - 194.18",
"PCAR","PACCAR Inc","0.99%","66.08","+1.07","+1.65%","836.28 K","60.36 - 79.69",
"COL","Rockwell Collins","0.97%","137.45","+1.11","+0.81%","1.46 M","102.15 - 139.63",
"IR","Ingersoll-Rand Plc","0.97%","91.67","+1.76","+1.96%","877.11 K","79.63 - 97.67",
"SWK","Stanley Black & Decker","0.96%","148.03","+3.21","+2.22%","1.01 M","135.01 - 176.62",
"INFO","IHS Markit Ltd","0.80%","51.53","+0.10","+0.19%","1.16 M","42.40 - 52.61",
"AAL","American Airlines Group Inc.","0.79%","44.36","+0.98","+2.25%","2.80 M","40.65 - 59.08",
"HRS","Harris Corp","0.79%","153.85","-0.05","-0.03%","308.28 K","107.46 - 170.54",
"AME","AMETEK Inc","0.75%","76.28","+0.74","+0.98%","562.29 K","59.36 - 79.32",
"TXT","Textron Inc","0.75%","67.03","+0.71","+1.07%","544.94 K","45.00 - 66.67",
"UAL","United Continental Holding Inc","0.72%","70.31","+1.89","+2.76%","1.70 M","56.51 - 83.04",
"VRSK","Verisk Analytics Inc","0.71%","106.84","+0.53","+0.50%","301.68 K","78.29 - 108.58",
"TDG","TransDigm Group","0.69%","331.72","+1.62","+0.49%","137.45 K","247.87 - 338.89",
"CTAS","Cintas Corp","0.68%","183.41","+0.56","+0.31%","278.23 K","119.73 - 184.22",
"GWW","Grainger W.W. Inc","0.68%","315.70","+8.09","+2.63%","518.31 K","155.00 - 309.80",
"FAST","Fastenal Co","0.66%","53.81","+1.05","+1.99%","1.31 M","39.79 - 58.74",
"LLL","L3 Technologies, Inc","0.66%","196.40","+2.34","+1.21%","308.59 K","160.83 - 218.71",
"RSG","Republic Services Inc","0.65%","67.40","+0.79","+1.19%","727.37 K","60.26 - 69.40",
"URI","United Rentals Inc","0.62%","173.91","+4.09","+2.41%","555.17 K","100.62 - 190.74",
"EFX","Equifax Inc","0.59%","116.38","+1.67","+1.45%","228.02 K","89.59 - 147.02",
"XYL","Xylem Inc","0.56%","72.86","+1.22","+1.70%","506.19 K","51.29 - 79.83",
"EXPD","Expeditors Intl of WA Inc","0.55%","73.45","+1.26","+1.74%","832.80 K","51.96 - 73.05",
"CHRW","CH Robinson Worldwide Inc","0.53%","90.01","+1.51","+1.71%","470.33 K","63.41 - 100.18",
"DOV","Dover Corp","0.53%","80.41","+1.39","+1.76%","761.48 K","75.74 - 109.06",
"MAS","Masco Corp","0.51%","37.76","-0.09","-0.25%","1.82 M","35.79 - 46.45",
"KSU","Kansas City Southern Inc","0.49%","109.19","+0.19","+0.18%","376.28 K","89.98 - 114.91",
"JBHT","Hunt J.B. Transport Services","0.47%","128.21","+1.35","+1.06%","665.03 K","83.42 - 127.14",
"NLSN","Nielsen Holdings plc","0.45%","31.14","+0.05","+0.16%","1.51 M","29.65 - 43.61",
"HII","Huntington Ingalls Industries Inc.","0.43%","222.65","+0.98","+0.44%","214.14 K","183.42 - 276.69",
"AOS","Smith A.O. Corp","0.40%","64.32","+0.63","+0.99%","353.95 K","52.94 - 68.39",
"FBHS","Fortune Brands Home & Security Inc","0.38%","57.75","-0.03","-0.05%","863.98 K","53.56 - 73.62",
"SNA","Snap On Inc","0.37%","154.44","+4.11","+2.73%","428.37 K","140.83 - 185.47",
"RHI","Robert Half Intl Inc","0.35%","64.93","+0.56","+0.87%","410.97 K","42.92 - 64.78",
"JEC","Jacobs Engineering Group Inc","0.33%","64.14","+0.40","+0.63%","547.49 K","49.31 - 72.18",
"PNR","Pentair PLC","0.33%","46.57","+0.55","+1.20%","1.05 M","43.51 - 74.84",
"ARNC","Arconic Inc","0.33%","18.43","+0.35","+1.91%","2.29 M","16.66 - 31.17",
"ALLE","Allegion plc","0.32%","78.78","+0.41","+0.52%","343.44 K","73.85 - 89.81",
"ALK","Alaska Air Group Inc","0.31%","58.20","+0.31","+0.54%","1.33 M","57.60 - 95.75",
"FLR","Fluor Corp","0.30%","50.11","+0.21","+0.42%","776.02 K","37.04 - 62.09",
"FLS","Flowserve Corp","0.25%","45.01","+0.44","+0.99%","491.90 K","37.51 - 50.43",
"PWR","Quanta Services Inc","0.24%","36.96","+0.34","+0.93%","380.66 K","30.23 - 40.11",
"SRCL","Stericycle Inc","0.24%","63.84","+0.07","+0.11%","310.00 K","56.64 - 84.74",
"AYI","Acuity Brands Inc","0.22%","120.62","+2.46","+2.08%","523.14 K","109.98 - 208.83",
