"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AAON","AAON, Inc.","45.33","2356092705.15","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","33.02","1157898108.38","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"ABIL","Ability Inc.","1.69","6193304.13","n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"AXDX","Accelerate Diagnostics, Inc.","20.29","1142400064.29","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","17.6","58974660.8","n/a","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","14.49","1355283737.01","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADOM","ADOMANI, Inc.","0.32","23306731.84","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"WMS","Advanced Drainage Systems, Inc.","25.95","1486291907.1","n/a","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","51.02","1949165835.12","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","1.45","32415954.95","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","34.36","2703019285.76","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","69.07","1653009555.67","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","0.916","17367822.58","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","70.55","5412125502.05","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","0.3928","5649549.3064","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/uavs",
"A","Agilent Technologies, Inc.","81.14","25763237610.66","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","1.12","31073131.04","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","99.77","1171307182.98","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AMOT","Allied Motion Technologies, Inc.","34.82","332004695.7","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","45.64","5716678910.88","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","32.34","2085756398.88","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"AXL","American Axle & Manufacturing Holdings, Inc.","15.15","1692894027","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/axl",
"AOBC","American Outdoor Brands Corporation","9.17","500296383.16","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc",
"AP","Ampco-Pittsburgh Corporation","3.4","42482476.4","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","99.76","29737180069.6","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aph",
"APOG","Apogee Enterprises, Inc.","38.24","1039202592","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/apog",
"APTV","Aptiv PLC","82.93","21387590773.46","n/a","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"ARCW","ARC Group Worldwide, Inc.","0.924","21574917.672","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arcw",
"ARNC","Arconic Inc.","19.75","8948392666.75","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",
"ACA","Arcosa, Inc.","30.9","1502524458.3","n/a","2018","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aca",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","2.11","9066043.33","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artw",
"ASTE","Astec Industries, Inc.","38.84","874599857.96","n/a","1986","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/aste",
"ATRO","Astronics Corporation","32.9","1072416065.7","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/atro",
"ASTC","Astrotech Corporation","3.57","20221772.34","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/astc",
"ASV","ASV Holdings, Inc.","2.71","26820539.38","n/a","2017","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/asv",
"ALV","Autoliv, Inc.","76.91","6708176031.56","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alv",
"AVX","AVX Corporation","18.11","3056963943.36","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/avx",
"AAXN","Axon Enterprise, Inc.","54.38","3199141901.92","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aaxn",
"BW","Babcock","0.47","79302877.69","n/a","2015","Capital Goods","Building Products","https://www.nasdaq.com/symbol/bw",
"BMI","Badger Meter, Inc.","55.21","1607724364.86","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bmi",
"B","Barnes Group, Inc.","52.6","2702355455.4","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/b",
"BZH","Beazer Homes USA, Inc.","11.6","372789049.2","n/a","1994","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/bzh",
"BELFA","Bel Fuse Inc.","21.1","258786520.4","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","26.41","323912417.24","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfb",
"BNGO","Bionano Genomics, Inc.","4.5","47263936.5","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bngo",
"BNGOW","Bionano Genomics, Inc.","1.15","0","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bngow",
"BIO","Bio-Rad Laboratories, Inc.","309.14","9262515744.56","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bio",
"BLBD","Blue Bird Corporation","17.19","453598718.4","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/blbd",
"BXC","BlueLinx Holdings Inc.","25.2","234108000","n/a","2004","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","390.75","220571326651.5","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/ba",
"BNSO","Bonso Electronics International, Inc.","3","14038857","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bnso",
"BWA","BorgWarner Inc.","40.71","8451782012.22","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/bwa",
"BWEN","Broadwind Energy, Inc.","1.67","26469615.23","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/bwen",
"DOOO","BRP Inc.","27.99","1204690243.77","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/dooo",
"BRKR","Bruker Corporation","38.53","6039266678.49","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/brkr",
"CSTE","Caesarstone Ltd.","15.68","538898252.48","n/a","2012","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cste",
